id,mouse3.num,mouse3.neg.score,mouse3.neg.p.value,mouse3.neg.fdr,mouse3.neg.rank,mouse3.neg.goodsgrna,mouse3.neg.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.neg.score,mouse4.noLmnb2_1.neg.p.value,mouse4.noLmnb2_1.neg.fdr,mouse4.noLmnb2_1.neg.rank,mouse4.noLmnb2_1.neg.goodsgrna,mouse4.noLmnb2_1.neg.lfc,mouse7.num,mouse7.neg.score,mouse7.neg.p.value,mouse7.neg.fdr,mouse7.neg.rank,mouse7.neg.goodsgrna,mouse7.neg.lfc,mouse8.num,mouse8.neg.score,mouse8.neg.p.value,mouse8.neg.fdr,mouse8.neg.rank,mouse8.neg.goodsgrna,mouse8.neg.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Ostm1,5,0.53708,0.45097,0.955823,5196,0,-0.10997,5,0.10858,0.15702,0.950762,2021,1,0.12861,5,0.2688,0.25245,0.962198,2091,1,0.24312,5,0.89972,0.81297,0.94693,11334,0,-0.046905,5,0.0408525,0.534470039,0.813349421
Lpar5,5,0.91668,0.84362,0.963733,11544,0,0.12392,5,0.49273,0.45477,0.950762,5923,0,-0.042255,5,0.55683,0.46555,0.962198,5824,0,0.1928,5,0.38018,0.29922,0.930684,3332,0,-0.1851,5,0.0408325,0.709477778,0.901854843
Fam169a,5,0.80464,0.69133,0.955823,9495,0,0.028913,5,0.95253,0.9215,0.976877,12455,0,0.35223,5,0.78515,0.68847,0.963396,9429,0,-0.047477,5,0.87942,0.77886,0.939554,10939,0,0.052698,5,0.0408055,0.360599165,0.693206411
Gprasp1,5,0.99023,0.97541,0.992839,12977,0,0.094502,5,0.58741,0.53278,0.950762,7169,0,0.14714,5,0.85966,0.78143,0.966587,10668,0,-0.10196,5,0.75884,0.63458,0.930684,8878,0,-0.012975,5,0.0407635,0.661487465,0.881167373
Epo,5,0.7359,0.61394,0.955823,8331,0,0.037307,5,0.66135,0.60467,0.950762,8207,0,0.033106,5,0.91492,0.85463,0.973448,11593,0,0.34624,5,0.52317,0.41465,0.930684,5233,0,0.044178,5,0.0407425,0.224177042,0.575384837
Specc1l,5,0.22795,0.22099,0.955823,1507,1,0.031902,5,0.58638,0.53278,0.950762,7154,0,-0.31215,5,0.34168,0.29987,0.962198,2919,0,0.049546,5,0.18624,0.17253,0.930684,1467,1,0.1919,5,0.040724,0.809452649,0.938830462
Cma1,5,0.54569,0.4535,0.955823,5336,0,0.052339,5,0.59079,0.53592,0.950762,7219,0,-0.08051,5,0.80704,0.71507,0.963396,9768,0,0.028937,5,0.97389,0.93681,0.976277,12675,0,0.093138,5,0.040638,0.748739315,0.916699006
Ilf3,5,0.84491,0.74383,0.955823,10245,0,0.078217,5,0.79385,0.73747,0.959295,10133,0,-0.21745,5,0.93582,0.8849,0.977562,11956,0,0.0029793,5,0.77904,0.65302,0.930684,9215,0,0.19905,5,0.04059815,0.729303011,0.910370869
Efhd2,5,0.68728,0.56923,0.955823,7529,0,0.085015,5,0.79501,0.73837,0.959295,10145,0,0.019897,5,0.70409,0.60754,0.962198,8081,0,0.061226,5,0.17306,0.16588,0.930684,1406,1,-0.098134,5,0.0405615,0.809185885,0.938830462
A830010M20Rik,5,0.28053,0.26042,0.955823,1914,1,-0.00060101,5,0.4498,0.41646,0.950762,5378,0,0.081709,5,0.50446,0.42923,0.962198,5058,0,0.14452,5,0.6543,0.5303,0.930684,7207,0,-0.08171,5,0.040553995,0.626373431,0.864376338
Lrrc28,5,0.92674,0.85741,0.964712,11733,0,-0.0041059,5,0.92023,0.8812,0.970202,11976,0,0.19735,5,0.91614,0.85656,0.973448,11610,0,0.071171,5,0.8994,0.81274,0.94693,11324,0,0.0099054,5,0.0405382,0.373731242,0.702898336
Abhd14b,5,0.48843,0.40756,0.955823,4509,0,0.13415,5,0.71155,0.65124,0.950762,8915,0,-0.25178,5,0.58686,0.48967,0.962198,6269,0,0.12848,5,0.76425,0.6395,0.930684,8977,0,-0.047406,5,0.040537,0.899926697,0.97095272
Med16,5,0.50679,0.4237,0.955823,4761,0,0.067201,5,0.82368,0.76978,0.960285,10554,0,-0.11899,5,0.78368,0.68649,0.963396,9401,0,0.013858,5,0.69338,0.56505,0.930684,7845,0,0.17732,5,0.0405295,0.634679634,0.868949017
Serpinb6a,5,0.45917,0.38363,0.955823,4091,0,0.15989,5,0.44759,0.41425,0.950762,5345,0,-0.26053,5,0.7491,0.65101,0.962198,8824,0,0.22785,5,0.62393,0.50133,0.930684,6709,0,-0.078871,5,0.0405095,0.736348034,0.911261047
Syngr1,5,0.48508,0.40487,0.955823,4461,0,0.18591,5,0.40676,0.37656,0.950762,4833,1,-0.081624,5,0.76981,0.67275,0.962198,9177,0,0.044128,5,0.33573,0.26785,0.930684,2808,0,0.036852,5,0.04049,0.548755497,0.821495127
Alox5ap,5,0.68189,0.56361,0.955823,7447,0,-0.031727,5,0.45739,0.4235,0.950762,5477,0,0.15812,5,0.61685,0.52036,0.962198,6717,0,0.1127,5,0.66496,0.53747,0.930684,7382,0,-0.10985,5,0.0404865,0.658543143,0.880093582
Evc2,5,0.78574,0.6688,0.955823,9162,0,-0.068448,5,0.39656,0.36716,0.950762,4704,1,-0.08912,5,0.97289,0.94541,0.988117,12636,0,0.14939,5,0.57608,0.45822,0.930684,6003,0,0.23641,5,0.040471,0.50697706,0.794701282
Fgb,5,0.94749,0.89073,0.969328,12134,0,0.064402,5,0.051928,0.095562,0.950762,1256,1,-0.15979,5,0.46168,0.39435,0.962198,4448,0,0.089831,5,0.45576,0.35614,0.930684,4308,0,0.016521,5,0.0404615,0.90999036,0.972580731
Igf2r,5,0.96995,0.93441,0.98308,12555,0,0.12808,5,0.66012,0.6035,0.950762,8185,0,-0.18021,5,0.96608,0.93328,0.985807,12504,0,0.077987,5,0.94324,0.88276,0.963352,12098,0,0.0029331,5,0.04046005,0.835621508,0.946504905
Samd5,5,0.46557,0.38871,0.955823,4183,0,0.013904,5,0.38825,0.36012,0.950762,4599,1,0.06697,5,0.46125,0.39327,0.962198,4442,0,0.20994,5,0.75119,0.62599,0.930684,8760,0,-0.1101,5,0.040437,0.568539568,0.832698005
Rasl11b,5,0.47875,0.39934,0.955823,4370,0,-0.1199,5,0.85766,0.8066,0.963903,11046,0,0.045265,5,0.69666,0.60033,0.962198,7973,0,0.11181,5,0.24026,0.20861,0.930684,1836,1,0.035586,5,0.0404255,0.78058749,0.927992761
Ptprg,5,0.84985,0.75125,0.955823,10324,0,0.097591,5,0.61756,0.55855,0.950762,7584,0,-0.016842,5,0.28914,0.26721,0.962198,2295,1,-0.040146,5,0.87716,0.77643,0.939554,10906,0,0.14229,5,0.0403745,0.539214544,0.816372055
Fign,5,0.44858,0.37744,0.955823,3925,0,-0.16303,5,0.4722,0.43778,0.950762,5668,0,0.078474,5,0.97797,0.95402,0.988873,12740,0,0.24032,5,0.49009,0.3854,0.930684,4765,0,0.0021924,5,0.0403332,0.615875409,0.860063693
Zfp28,5,0.55893,0.46064,0.955823,5539,0,-0.039064,5,0.16731,0.19266,0.950762,2458,1,-0.033806,5,0.80446,0.7123,0.963396,9728,0,0.1143,5,0.99187,0.97537,0.9895,13017,0,0.22669,5,0.040247,0.416448574,0.731962888
Epn2,5,0.62852,0.51474,0.955823,6612,0,-0.1328,5,0.25164,0.25116,0.950762,3206,1,-0.014782,5,0.76897,0.67137,0.962198,9165,0,0.16977,5,0.77137,0.64688,0.930684,9085,0,0.095248,5,0.040233,0.67456174,0.886270187
Dtd2,5,0.7848,0.66842,0.955823,9143,0,0.10981,5,0.48672,0.45155,0.950762,5845,0,-0.22415,5,0.57302,0.48195,0.962198,6067,0,0.028485,5,0.91836,0.83966,0.951218,11658,0,0.051979,5,0.040232,0.933860221,0.978621295
Ociad1,5,0.53576,0.44948,0.955823,5179,0,0.14443,5,0.76395,0.69964,0.952243,9705,0,0.05671,5,0.63784,0.54082,0.962198,7020,0,-0.11987,5,0.86871,0.76576,0.939554,10754,0,0.023747,5,0.0402285,0.703690521,0.897759596
Hsph1,5,0.77739,0.66115,0.955823,9017,0,0.070009,5,0.61241,0.55468,0.950762,7521,0,0.01956,5,0.78731,0.69144,0.963396,9461,0,0.04926,5,0.39702,0.31042,0.930684,3556,0,0.03117,5,0.040215,0.555649375,0.824330781
Gfi1,5,0.21049,0.20743,0.955823,1410,1,0.14753,5,0.066634,0.1132,0.950762,1500,1,-0.22173,5,0.42104,0.36177,0.962198,3909,0,0.192,5,0.8471,0.73527,0.935348,10376,0,-0.067103,5,0.0402135,0.755208749,0.918561813
Fbxo8,5,0.8318,0.7261,0.955823,9988,0,0.15519,5,0.38013,0.35218,0.950762,4499,1,-0.074766,5,0.9585,0.92059,0.985268,12340,0,0.23149,5,0.62285,0.50088,0.930684,6689,0,-0.082458,5,0.040212,0.502454304,0.792502561
