id,mouse3.num,mouse3.pos.score,mouse3.pos.p.value,mouse3.pos.fdr,mouse3.pos.rank,mouse3.pos.goodsgrna,mouse3.pos.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.pos.score,mouse4.noLmnb2_1.pos.p.value,mouse4.noLmnb2_1.pos.fdr,mouse4.noLmnb2_1.pos.rank,mouse4.noLmnb2_1.pos.goodsgrna,mouse4.noLmnb2_1.pos.lfc,mouse7.num,mouse7.pos.score,mouse7.pos.p.value,mouse7.pos.fdr,mouse7.pos.rank,mouse7.pos.goodsgrna,mouse7.pos.lfc,mouse8.num,mouse8.pos.score,mouse8.pos.p.value,mouse8.pos.fdr,mouse8.pos.rank,mouse8.pos.goodsgrna,mouse8.pos.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Fam160b1,5,0.53633,0.64649,1,6589,0,0.039434,5,0.62511,0.70042,1,7961,0,0.00066456,5,0.51675,0.61551,1,6489,0,-0.0036556,5,0.85509,0.92897,1,10472,0,0.019055,5,0.00985978,0.889412788,0.967915773
Urb2,5,0.38698,0.47739,1,4775,0,0.15923,5,0.90943,0.94333,1,11641,0,-0.37808,5,0.38387,0.47882,1,4800,0,0.036332,5,0.66199,0.78131,1,8148,0,-0.016653,5,0.0098395,0.908859882,0.972501995
Scd1,5,0.2602,0.33711,1,3194,0,-0.062935,5,0.74605,0.80773,1,9520,0,-0.061961,5,0.29616,0.38767,1,3693,0,0.20112,5,0.0058642,0.022086,1,203,1,0.081619,5,0.009829,0.63297499,0.867610407
Rab3b,5,0.57278,0.68027,1,7026,0,0.023426,5,0.0058643,0.023173,1,248,2,0.29865,5,0.21835,0.30349,1,2760,1,-0.042305,5,0.029522,0.083073,1,711,1,-0.0037736,5,0.0098262,0.513389038,0.79972195
Mrpl49,5,0.52757,0.63852,1,6485,0,0.11582,5,0.51714,0.58469,1,6639,1,0.021404,5,0.57685,0.67207,1,7189,0,-0.024459,5,0.63244,0.75142,1,7797,0,-0.0017663,5,0.00981885,0.728034602,0.909604461
Hat1,5,0.76482,0.84949,1,9335,0,-0.19065,5,0.42905,0.51108,1,5682,1,0.11768,5,0.44979,0.5522,1,5624,0,-0.02142,5,0.23752,0.32131,1,2982,1,0.041045,5,0.0098125,0.940066063,0.97984926
Tex2,5,0.85893,0.92161,1,10460,0,-0.14985,5,0.14997,0.2924,1,3092,2,0.14966,5,0.048323,0.11484,1,989,1,0.057965,5,0.091897,0.15231,1,1435,1,-0.038388,5,0.0097885,0.91840304,0.9748944
Pabpc4l,5,0.80062,0.87945,1,9747,0,0.036264,5,0.22892,0.37136,1,3896,1,-0.016719,5,0.89817,0.94211,1,11114,0,0.044675,5,0.75651,0.86144,1,9289,0,-0.14425,5,0.0097725,0.792172989,0.933531481
Paqr7,5,0.45614,0.56006,1,5631,0,0.07898,5,0.93181,0.96021,1,11937,0,-0.0028407,5,0.4516,0.55531,1,5643,0,0.0011069,5,0.51892,0.64614,1,6394,0,0.018398,5,0.00975245,0.768036046,0.923708247
Rufy1,5,0.84561,0.91162,1,10295,0,-0.11042,5,0.72863,0.79043,1,9305,0,-0.046501,5,0.69508,0.77415,1,8634,0,0.12294,5,0.72272,0.83511,1,8891,0,0.065997,5,0.009748,0.910835089,0.973006372
Krtcap2,5,0.58168,0.68796,1,7139,0,0.0053608,5,0.63887,0.71322,1,8122,0,-0.16533,5,0.16503,0.2408,1,2174,1,0.014094,5,0.21966,0.30168,1,2771,1,0.088019,5,0.0097274,0.882099421,0.966275193
Arl6ip4,5,0.7338,0.82581,1,8961,0,-0.0918,5,0.9186,0.95001,1,11757,0,-0.32422,5,0.52455,0.62238,1,6591,0,0.12378,5,0.0027776,0.013683,1,127,2,0.11122,5,0.00971,0.870057826,0.962053057
Sec22c,5,0.35246,0.44809,1,4324,0,0.2108,5,0.10649,0.22368,1,2314,1,-0.23092,5,0.4278,0.52623,1,5339,0,0.030845,5,0.17223,0.25055,1,2254,1,-0.011464,5,0.0096905,0.908613021,0.972501995
Mlx,5,0.034808,0.074552,1,618,1,-0.0201,5,0.67355,0.74072,1,8584,0,0.039463,5,0.84608,0.90269,1,10482,0,-0.075998,5,0.17967,0.25777,1,2333,1,0.26435,5,0.0096815,0.604894719,0.852888472
Nat8f1,5,0.5957,0.70016,1,7316,0,0.0043427,5,0.1264,0.25243,1,2678,1,0.015011,5,0.22086,0.3063,1,2795,1,0.003998,5,0.78313,0.87776,1,9587,0,0.062535,5,0.00967685,0.798926255,0.935646211
Igfbp1,5,0.95811,0.98218,1,11716,0,-0.0358,5,0.11396,0.23482,1,2438,1,0.26436,5,0.77424,0.8434,1,9587,0,-0.087027,5,0.81012,0.89676,1,9950,0,0.055097,5,0.0096485,0.628140255,0.865049193
Atad1,5,0.92544,0.96422,1,11296,0,-0.063162,5,0.016192,0.056993,1,582,3,0.43243,5,0.68868,0.7685,1,8547,0,-0.023184,5,0.8912,0.95048,1,10947,0,0.04248,5,0.009648,0.515091188,0.800956489
Aga,5,0.59832,0.70235,1,7354,0,-0.053983,5,0.14925,0.29087,1,3081,1,0.20319,5,0.05831,0.12769,1,1079,1,0.073226,5,0.46002,0.58364,1,5670,0,-0.22112,5,0.0096215,0.898746052,0.970775094
Marveld1,5,0.14992,0.19651,1,1903,1,0.097472,5,0.14589,0.28629,1,3016,1,-0.16075,5,0.3027,0.3966,1,3781,0,-0.078244,5,0.77919,0.87607,1,9540,0,0.14775,5,0.009614,0.926903004,0.9765752
Timm17a,5,0.12864,0.17556,1,1647,1,0.14192,5,0.30156,0.41793,1,4502,1,0.15661,5,0.65361,0.7394,1,8131,0,-0.12273,5,0.54287,0.67013,1,6717,0,-0.1438,5,0.009595,0.85971981,0.957126544
Ugdh,5,0.29904,0.39081,1,3671,0,-0.039532,5,0.52113,0.58811,1,6688,1,-0.16174,5,0.44996,0.55267,1,5627,0,0.058638,5,0.054192,0.12285,1,1060,1,0.083573,5,0.009553,0.88528245,0.96706729
Mfsd2a,5,0.68275,0.78137,1,8361,0,0.026892,5,0.76511,0.82818,1,9769,0,-0.0078091,5,0.21325,0.29605,1,2699,1,-0.087822,5,0.27253,0.37006,1,3393,1,0.11629,5,0.00954145,0.892133466,0.968557453
Dll1,5,0.4832,0.5908,1,5954,0,0.13437,5,0.24388,0.38054,1,4014,1,0.062722,5,0.7925,0.85717,1,9815,0,-0.04378,5,0.93599,0.97357,1,11517,0,-0.067079,5,0.009471,0.784616232,0.929637246
Hist3h2ba,5,0.12264,0.16921,1,1582,1,0.10395,5,0.1487,0.29021,1,3068,1,0.051168,5,0.91444,0.95371,1,11308,0,-0.19166,5,0.62441,0.74454,1,7712,0,-0.032252,5,0.009458,0.89980992,0.97095272
Afmid,5,0.15364,0.2029,1,1946,1,0.056046,5,0.68961,0.75594,1,8795,0,0.0087743,5,0.68464,0.7649,1,8503,0,0.0074736,5,0.14447,0.21541,1,1963,1,0.010048,5,0.00941115,0.812299512,0.93943825
Dhrs9,5,0.38179,0.47347,1,4710,0,-0.011827,5,0.09992,0.21168,1,2213,2,0.36466,5,0.53944,0.63666,1,6766,0,-0.1725,5,0.80901,0.89622,1,9936,0,0.030606,5,0.0093895,0.726902283,0.909575453
Kif14,5,0.52585,0.63665,1,6463,0,0.037259,5,0.35766,0.45437,1,4998,1,0.10027,5,0.73364,0.80756,1,9098,0,-0.25711,5,0.63166,0.75113,1,7791,0,-0.018503,5,0.009378,0.823992112,0.944199661
Cdkn3,5,0.091897,0.13145,1,1237,1,-0.14939,5,0.46519,0.53772,1,6074,1,0.3276,5,0.59741,0.69284,1,7447,0,0.095619,5,0.79355,0.88608,1,9720,0,-0.076931,5,0.009344,0.687481693,0.891154632
Proser2,5,0.4232,0.52655,1,5223,0,0.20132,5,0.97023,0.98412,1,12504,0,-0.26514,5,0.8125,0.87394,1,10089,0,0.010976,5,0.39069,0.51056,1,4807,0,0.0076723,5,0.00932415,0.959187192,0.986447437
Stbd1,5,0.56178,0.67017,1,6903,0,-0.23506,5,0.092285,0.20215,1,2088,1,0.11817,5,0.27726,0.36656,1,3461,1,-0.032659,5,0.80652,0.89386,1,9902,0,0.051271,5,0.009306,0.89043613,0.968284225
Msra,5,0.54079,0.65085,1,6639,0,0.028089,5,0.61048,0.68147,1,7777,0,0.051228,5,0.61021,0.70166,1,7596,0,-0.019155,5,0.84272,0.91993,1,10335,0,-0.0095739,5,0.00925755,0.90018621,0.970980764
1110065P20Rik,5,0.81522,0.88969,1,9928,0,-0.042237,5,0.061951,0.153,1,1573,1,0.090143,5,0.58019,0.67651,1,7224,0,0.060708,5,0.39535,0.51292,1,4866,0,-0.10928,5,0.0092355,0.996390387,0.999009768
Trappc6b,5,0.42342,0.52742,1,5225,0,0.042609,5,0.91543,0.94806,1,11720,0,-0.19658,5,0.10337,0.17814,1,1529,1,0.078885,5,0.74085,0.84848,1,9116,0,-0.02421,5,0.0091995,0.821275538,0.943334839
Lat2,5,0.63028,0.73212,1,7745,0,-0.049229,5,0.53817,0.60547,1,6895,1,-0.065801,5,0.14864,0.22271,1,2007,1,0.067625,5,0.43214,0.55403,1,5298,0,0.14718,5,0.009198,0.749808054,0.917242269
Cblb,5,0.41068,0.50984,1,5069,0,0.046456,5,0.12621,0.25243,1,2672,1,-0.14816,5,0.15121,0.22607,1,2031,1,0.11236,5,0.22285,0.30548,1,2812,1,-0.02806,5,0.009198,0.982411039,0.994471007
Adcy6,5,0.44512,0.5508,1,5496,0,0.01111,5,0.12214,0.24749,1,2596,1,-0.26943,5,0.88667,0.93389,1,10966,0,0.0072332,5,0.53573,0.6622,1,6613,0,0.1748,5,0.0091716,0.988452217,0.996297075
Rars2,5,0.87673,0.93434,1,10676,0,-0.1065,5,0.66284,0.73421,1,8426,0,0.039014,5,0.83442,0.89334,1,10339,0,-0.02068,5,0.38561,0.50492,1,4739,0,0.13257,5,0.009167,0.887871646,0.967915773
Glb1l,5,0.72892,0.81905,1,8906,0,0.11312,5,0.87431,0.91724,1,11181,0,-0.18801,5,0.30343,0.39711,1,3789,0,0.15289,5,0.97295,0.99053,1,12062,0,-0.09481,5,0.009155,0.948689799,0.983848529
Iqcc,5,0.57352,0.6806,1,7035,0,0.044425,5,0.23763,0.37794,1,3967,1,-0.026116,5,0.42023,0.51552,1,5242,0,-0.070165,5,0.71974,0.83233,1,8857,0,0.077996,5,0.0091545,0.951939991,0.984480954
Plaa,5,0.48307,0.5904,1,5952,0,-0.022541,5,0.037308,0.11102,1,1139,1,0.12598,5,0.70172,0.78013,1,8706,0,-0.027845,5,0.90489,0.95872,1,11132,0,0.040834,5,0.0091465,0.711357691,0.902383057
Gstm2,5,0.59051,0.69471,1,7251,0,0.17156,5,0.047119,0.1334,1,1307,1,-0.0077873,5,0.51741,0.61551,1,6501,0,-0.071982,5,0.41027,0.52946,1,5045,0,0.026034,5,0.00912335,0.726459364,0.90928885
Cxcl9,5,0.193,0.25564,1,2391,1,-0.10983,5,0.56967,0.6396,1,7284,0,0.015788,5,0.68947,0.7693,1,8558,0,0.14789,5,0.3259,0.43641,1,4033,0,0.0023977,5,0.00909285,0.864898818,0.959629441
Igf2,5,0.64285,0.74586,1,7897,0,0.099305,5,0.59245,0.66012,1,7565,0,-0.28806,5,0.37737,0.47077,1,4728,0,0.21611,5,0.36009,0.4713,1,4433,0,-0.081162,5,0.0090715,0.925965368,0.976537096
Rev1,5,0.43444,0.53923,1,5362,0,-0.067145,5,0.71927,0.78024,1,9189,0,0.085178,5,0.9848,0.99398,1,12267,0,-0.22126,5,0.50731,0.63325,1,6247,0,0.089222,5,0.0090165,0.837337074,0.946879115
Thbd,5,0.39707,0.48871,1,4900,0,-0.019294,5,0.086929,0.1919,1,1993,2,0.18697,5,0.50175,0.60226,1,6290,0,0.037277,5,0.46023,0.58364,1,5674,0,-0.023723,5,0.0089915,0.578092781,0.838507517
Cdhr5,5,0.13485,0.18447,1,1719,1,0.079663,5,0.17103,0.32783,1,3440,1,-0.036465,5,0.61968,0.71032,1,7726,0,0.054447,5,0.92383,0.96778,1,11371,0,-0.1825,5,0.008991,0.841424242,0.947982076
Rfwd3,5,0.31851,0.41027,1,3902,0,0.0066128,5,0.16571,0.32159,1,3352,2,-0.19728,5,0.7967,0.86079,1,9875,0,0.068253,5,0.81312,0.89902,1,9984,0,0.011188,5,0.0089004,0.778110214,0.92685939
Xlr,5,0.73252,0.82438,1,8950,0,-0.047676,5,0.15357,0.29813,1,3156,2,0.28883,5,0.84079,0.89827,1,10417,0,0.065471,5,0.76157,0.86434,1,9347,0,-0.18866,5,0.0088975,0.77507015,0.925654225
Prss53,5,0.46826,0.57441,1,5777,0,0.092554,5,0.94372,0.96803,1,12116,0,-0.16236,5,0.53077,0.62843,1,6655,0,0.20658,5,0.9865,0.99583,1,12289,0,-0.074897,5,0.0088285,0.819529389,0.942640788
